#{"t_start": 1776510103.5959845, "env_id": "None"}
r,l,t
-8287.291183,9,29.116502
-990.604902,9,29.119644
-324.097299,8,29.122152
-147.044498,8,29.124818
-559.467509,10,29.128079
-2966.455963,9,29.130898
-314.621209,8,29.133459
-1282.521432,9,29.136445
-776.813801,8,29.138927
-290.924038,8,29.141649
-1188.031266,11,29.145313
-98.577331,7,29.147506
-1213.08938,9,29.150339
-666.858786,8,29.153064
-1938.886414,9,29.155856
-545.376412,8,29.158459
-3906.697958,10,29.16183
-613.091389,9,29.164655
-335.323833,8,29.167208
-748.512335,8,29.170162
-1894.083132,9,29.173057
-989.690675,9,29.176288
-218.846437,9,29.179187
-2308.808698,9,29.181964
-1289.61401,10,29.185219
-1789.160667,10,29.188513
-5569.264721,9,29.191825
-147.55568,8,29.194933
-4480.951665,9,29.198034
-1763.987713,9,29.201071
-2330.364874,11,29.204046
-1192.740919,8,29.206649
-269.832071,8,29.209176
-1098.186593,9,29.212063
-332.143357,8,29.214537
-2341.644418,10,29.217772
-329.402367,8,29.220072
-1144.293121,9,29.223545
-922.770278,9,29.226349
-5694.175346,9,29.229148
-6946.557894,9,29.232018
-4275.101161,9,29.235308
-1619.452345,9,29.238422
-665.266306,9,29.241258
-4234.28293,11,29.244588
-4166.652769,9,29.247401
-5026.812126,12,29.251298
-4248.424611,9,29.255472
-2264.972204,10,29.258755
-370.40356,8,29.261297
-517.695443,8,29.263942
-269.233087,8,29.266473
-362.194002,11,29.271535
-2246.778472,9,29.274575
-983.783735,9,29.277388
-258.423208,8,29.279946
-1438.455839,9,29.28275
-5849.389224,9,29.28632
-1550.269071,8,29.288966
-1156.551312,9,29.291872
-4761.760046,11,29.296859
-763.224363,8,29.30386
-6078.054221,10,29.306441
-116.078885,7,29.309617
-3490.584967,9,29.971107
-276.619244,8,29.973207
-1069.184295,9,29.975439
-1436.82626,8,29.977362
-423.6945,10,29.979785
-4086.13591,10,29.982823
-135.729501,7,29.988112
-83.685359,8,29.99032
-2177.295054,9,29.992794
-103.083888,8,29.994925
-4428.433283,10,29.997512
-361.636394,8,29.999988
-312.425499,8,30.003538
-4101.515659,9,30.005919
-429.185984,8,30.0081
-8239.097566,10,30.010687
-908.834611,8,30.013118
-3691.389711,9,30.01669
-696.791665,8,30.019867
-6116.011279,9,30.022892
-226.601633,7,30.025185
-893.468182,8,30.027842
-390.094382,8,30.030491
-293.015916,8,30.033345
-269.489659,8,30.036289
-910.568582,9,30.039234
-1220.094109,8,30.041874
-4815.526205,10,30.045134
-1164.728397,8,30.047991
-3471.205416,10,30.051564
-718.19984,8,30.054342
-7389.13397,9,30.057212
-610.95624,8,30.059818
-7199.255821,9,30.063275
-3162.986059,11,30.066714
-726.053059,8,30.069501
-2879.39701,9,30.072574
-5372.042059,9,30.075516
-1933.938283,11,30.079374
-2890.179141,9,30.082181
-154.805032,8,30.084958
-2314.570342,9,30.088041
-1630.87547,9,30.090749
-310.80255,8,30.093315
-2855.38477,9,30.096421
-1301.508446,9,30.099261
-1009.776015,8,30.102045
-928.246574,9,30.105107
-2148.729038,9,30.107862
-381.971223,8,30.110654
-566.069594,9,30.11347
-249.594037,8,30.116341
-554.449306,8,30.119226
-4139.873067,9,30.122399
-109.115155,8,30.125254
-35380.575662,10,30.128433
-100.916508,8,30.130966
-1175.480532,9,30.133886
-3575.475046,9,30.136771
-231.748163,8,30.139377
-2087.688171,9,30.142345
-2246.228533,9,30.145176
-4801.094173,9,30.147913
-1303.499795,9,30.150735
-7527.380824,9,30.153618
-5317.929394,9,30.156345
-438.525015,8,30.159167
-108.645812,7,30.161301
-76.16231,8,30.163849
-2322.849407,9,30.166591
-109.656048,8,30.16933
-1303.241507,9,30.172122
-437.55079,8,30.174791
-255.063247,8,30.177326
-313.639219,8,30.179782
-1268.760778,9,30.182549
-888.151999,8,30.185277
-2280.556596,9,30.188151
-868.387464,9,30.191398
-3276.96292,9,30.194213
-50.924666,14,30.198381
-326.620811,8,30.200974
-379.47769,8,30.203795
-494.793213,8,30.206566
-253.60858,8,30.209095
-348.496455,9,30.211849
-1254.211692,9,30.214519
-689.327097,9,30.21779
-118.32381,8,30.221019
-2660.595397,9,30.223969
-702.820578,8,30.226405
-30928.830285,11,30.229754
-2211.349049,13,30.233837
-139.724434,8,30.236979
-10380.068972,10,30.240106
-1255.502499,8,30.242625
-867.386783,8,30.245123
-3929.515805,10,30.248171
-875.516522,8,30.250779
-2263.612561,9,30.254621
-113.456959,7,30.256855
-3287.589826,9,30.259862
-27033.684802,14,30.264119
-257.192711,8,30.266794
-740.865362,8,30.26999
-958.793953,9,30.272958
-2207.631246,9,30.275889
-418.18237,8,30.278499
-3303.561261,9,30.281372
-263.838213,9,30.286094
-2925.417922,9,30.289339
-1077.854086,11,30.293208
-695.182952,9,30.29656
-306.689114,8,30.300072
-847.026187,8,30.304205
-48.304979,10,30.306924
-382.452629,8,30.309939
-1051.783061,8,30.312483
-966.814803,8,30.315929
-2333.804124,9,30.319829
-1740.66578,10,30.323627
-2690.745126,10,30.327349
-710.196861,8,30.330446
-346.708069,10,30.334771
-4988.823838,9,30.338865
-85.346071,7,30.341644
-6482.482662,9,30.345045
-7641.89852,10,30.348539
-2106.808935,9,30.354108
-4506.320235,9,30.3577
-264.648446,8,30.359822
-257.001452,8,30.361754
-1035.668256,9,30.364873
-2763.460693,9,30.368242
-2301.189982,9,30.371391
-575.889105,9,30.374277
-2144.958768,9,30.377103
-2319.419442,9,30.380215
-8989.280935,10,30.383419
-759.099534,8,30.38613
-4080.780507,9,30.389009
-3818.544127,9,30.391837
-985.76385,8,30.394575
-2188.340317,9,30.397395
-584.943233,8,30.400049
-1118.366696,10,30.403377
-1105.83916,8,30.405705
-79.030747,9,30.407977
-943.679217,9,30.410916
-39610.064072,10,30.414614
-252.770866,8,30.417478
-561.98604,8,30.420274
-5351.609165,9,30.423525
-147.26953,8,30.426684
-1431.107109,9,30.42955
-2211.566027,10,30.432726
-5507.146412,14,30.437134
-4618.638848,9,30.440841
-646.098134,8,30.443658
-2305.367511,9,30.446421
-4693.827593,9,30.449192
-1592.974701,9,30.452162
-373.019003,9,30.455451
-929.734213,10,30.458745
-6273.288619,10,30.461938
-3716.123149,11,30.465544
-903.049034,8,30.468324
-988.331584,8,30.470428
-758.448914,8,30.475646
-535.135757,10,30.478191
-302.632405,8,30.48019
-1088.464016,9,30.482394
-2257.109774,9,30.488281
-1605.685854,9,30.492409
-963.785687,8,30.495228
-695.728802,8,30.498477
-4258.041759,9,30.503742
-153.837005,7,30.506266
-4540.302369,9,30.50919
-121.848785,8,30.511807
-426.582381,8,30.514261
-2403.955094,10,30.51771
-1408.166226,9,30.520686
-516.131051,9,30.524297
-533.346446,8,30.528283
-2212.304001,9,30.53053
-1090.057808,9,30.533722
-3073.14202,9,30.540079
-4491.583428,9,30.545719
-4728.958719,10,30.55316
-5210.530986,9,30.56002
-3147.145191,10,30.566555
-2585.309856,9,30.571493
-2893.778922,9,30.573723
-529.679273,11,30.580155
-151.305061,8,30.585263
-5700.365407,9,30.588669
-5193.558275,10,30.592324
-1518.828124,9,30.595431
-7265.697299,9,30.598271
-4548.852037,9,30.601698
-593.401293,8,30.604431
-2212.489406,10,30.607555
-6712.639716,10,30.610676
-356.25814,8,30.61326
-646.831963,8,30.616096
-1434.289296,8,30.618806
-5413.637204,10,30.621438
-1209.556618,9,30.623758
-383.69629,8,30.625731
-674.453365,9,30.629314
-2271.946669,9,30.63309
-97.900851,8,30.635724
-1003.068645,8,30.637982
-6925.913617,11,30.640892
-3202.105044,12,30.643998
-4224.555616,9,30.647348
-1148.771796,9,30.650477
-1027.755869,9,30.653436
-616.308937,10,30.656577
-1660.222525,9,30.659406
-723.079148,9,30.663222
-689.94922,8,30.666759
-1641.925908,9,30.670083
-876.740551,8,30.673008
-1754.362541,10,30.676234
-1136.084853,10,30.679649
-1673.450566,9,30.68244
-5368.717401,9,30.685779
-531.314411,8,30.68846
-2298.549678,9,30.691328
-39534.099407,10,31.36846
-12301.120149,10,31.371964
-245.05687,8,31.374557
-778.712911,8,31.377076
-2265.304815,9,31.379929
-4214.413926,9,31.382686
-5783.245025,10,31.386265
-4186.362534,9,31.389417
-1058.86798,9,31.392312
-841.736403,8,31.394787
-1494.136089,9,31.397604
-3594.176787,11,31.401231
-4158.692438,9,31.404567
-260.660804,8,31.407168
-2052.303717,9,31.409949
-4431.139463,9,31.412757
-150.468774,8,31.415349
-4516.507819,9,31.41838
-962.616983,8,31.42471
-1099.705149,8,31.42832
-9913.895982,11,31.430872
-4345.226909,9,31.433197
-4581.480128,10,31.436812
-2146.837093,9,31.439281
-1601.349039,9,31.441498
-5546.387131,9,31.443737
-129.223663,8,31.44618
-493.257401,8,31.448673
-136.198645,7,31.452085
-1961.148928,9,31.455582
-4621.702679,10,31.458682
-5669.833039,9,31.461551
-387.034761,8,31.464057
-6397.073989,10,31.469055
-436.694872,8,31.471971
-616.562368,8,31.474563
-1149.715797,9,31.477579
-2336.648736,9,31.480626
-760.169548,10,31.485979
-540.418674,8,31.488106
-340.72589,8,31.49008
-1044.359808,9,31.492399
-543.52244,10,31.494724
-1496.466375,9,31.496916
-2456.435866,10,31.500191
-2769.310549,14,31.504762
-658.310937,8,31.507351
-2445.493639,9,31.510242
-104.468829,8,31.512867
-1205.036936,8,31.519579
-428.701615,8,31.522753
-1542.325076,9,31.525296
-294.832747,9,31.52779
-155.765868,8,31.531074
-1023.060486,8,31.534162
-4481.763679,9,31.537438
-1226.770164,9,31.540823
-5318.34186,9,31.543601
-4188.95629,9,31.546626
-653.937481,10,31.550187
-1229.877019,8,31.552989
-6135.146404,10,31.556314
-4416.275819,11,31.559953
-9263.427054,10,31.56341
-4649.60718,9,31.566269
-242.999937,8,31.569119
-698.954087,10,31.572288
-113.745319,8,31.574781
-6855.111716,9,31.577984
-1319.944868,9,31.580851
-803.080956,8,31.583629
-563.345995,9,31.586675
-466.759479,9,31.589626
-1739.107767,9,31.592781
-1550.368817,9,31.595703
-1261.293057,9,31.598449
-6876.359809,10,31.601781
-154.9983,8,31.604452
-4856.335357,9,31.607361
-697.718792,9,31.610382
-1537.916952,9,31.613254
-9863.161658,10,31.616397
-2398.784239,10,31.619623
-357.832545,8,31.622128
-2110.300225,9,31.625357
-243.338432,8,31.627996
-928.058233,8,31.630569
-320.298148,10,31.634226
-1743.381529,9,31.63719
-4908.605604,10,31.640579
-1476.056141,9,31.643687
-999.456786,9,31.646481
-133.166868,7,31.648814
-709.666906,8,31.651658
-2609.517329,10,31.654227
-4150.605321,9,31.656958
-1407.445274,9,31.659354
-239.753739,8,31.661589
-261.792983,8,31.663675
-612.085244,10,31.666952
-886.804139,8,31.672048
-1774.168025,9,31.675526
-7037.92689,10,31.678842
-1238.425102,9,31.681943
-4427.075463,10,31.687553
-4648.860516,9,31.690713
-2051.177814,9,31.693686
-850.838921,8,31.696295
-2261.06182,13,31.701879
-720.069416,8,31.704736
-348.792797,8,31.707379
-2583.295997,9,31.710116
-153.428807,7,31.712372
-2222.089055,9,31.715125
-6064.79984,10,31.719556
-3205.97303,10,31.722866
-744.817864,9,31.725754
-2235.937929,9,31.728496
-2162.306451,9,31.731321
-1092.45425,8,31.734318
-2756.326515,11,31.738016
-431.54135,9,31.74087
-5272.543995,14,31.745034
-146.570126,7,31.747202
-2910.174022,9,31.750646
-4462.798707,9,31.754143
-222.774659,8,31.756876
-137.998725,7,31.759224
-1050.053559,8,31.76182
-4200.912795,9,31.764763
-681.970165,8,31.767729
-792.511577,9,31.770684
-1628.543017,9,31.773553
-1188.184883,8,31.77623
-2312.026354,9,31.77904
-8008.532218,9,31.781939
-278.483343,13,31.786505
-898.364291,8,31.790227
-521.404259,8,31.792499
-4452.088668,9,31.79488
-370.385065,9,31.797129
-17354.948649,10,31.801202
-262.019691,8,31.803974
-357.563342,8,31.806655
-2278.154792,9,31.809673
-328.212299,9,31.812732
-159.575609,8,31.815893
-6552.737227,9,31.819029
-2909.293845,9,31.821824
-87.243692,8,31.824381
-2227.928217,9,31.827117
-85.441019,9,31.83008
-929.633305,9,31.833419
-1633.886853,9,31.836383
-3003.64233,9,31.839173
-3783.299741,9,31.841972
-2234.377095,9,31.84476
-537.313742,9,31.847811
-1671.586605,9,31.850863
-5067.543235,9,31.853723
-1641.127706,11,31.860565
-1194.158797,9,31.863916
-3561.134711,9,31.866985
-350.686633,8,31.869615
-1486.536235,9,31.872432
-1024.089422,9,31.875374
-1018.664141,9,31.878235
-2249.353679,9,31.881159
-616.398276,9,31.884267
-138.82761,9,31.887108
-4260.678696,10,31.890179
-2337.954613,9,31.892955
-4461.157866,9,31.896106
-3487.147992,10,31.89929
-308.173201,8,31.901891
-1003.506036,8,31.904474
-838.091184,8,31.906963
-108.870038,8,31.909473
-914.242085,9,31.912539
-302.803065,8,31.915022
-625.134498,8,31.919846
-971.057244,8,31.923449
-2497.436576,9,31.925606
-381.72473,8,31.928513
-4222.646259,9,31.931659
-520.866504,8,31.936249
-315.53429,8,31.938572
-1020.691089,8,31.940541
-1261.233349,9,31.943296
-4165.619122,9,31.946036
-1023.373922,8,31.948848
-355.223311,8,31.952261
-127.994434,11,31.994996
-2541.054096,9,32.010115
-3528.11633,9,32.017156
-909.34425,9,32.021615
-250.53112,8,32.024761
-4627.039623,10,32.028
-82.331931,8,32.030616
-131.143273,9,32.033718
-4490.505179,11,32.037526
-1046.283278,9,32.040858
-4441.790843,9,32.043775
-2155.15594,9,32.04666
-1178.732028,13,32.050922
-264.928806,8,32.053369
-1801.768562,10,32.056755
-416.022405,8,32.05906
-2323.171936,11,32.062471
-4689.258235,9,32.065109
-789.928423,8,32.070273
-7201.264325,10,32.07371
-3568.85106,9,32.076573
-105.982095,8,32.079184
-374.659929,8,32.081746
-6072.467286,9,32.085057
-916.500489,9,32.088407
-577.0713,8,32.091081
-346.672356,9,32.09394
-1947.657384,9,32.096922
-331.275719,8,32.100321
-4735.276885,9,32.104135
-1078.479158,9,32.10644
-935.322398,8,32.108487
-7777.369077,11,32.111186
-1187.79188,9,32.113384
-234.674754,8,32.115331
-752.759688,8,32.118018
-1214.217448,8,32.120786
-682.932382,9,32.784006
-751.968708,8,32.786496
-130.998568,8,32.788692
-1036.069259,10,32.791239
-123.438522,8,32.793635
-2603.595979,10,32.796168
-2310.911166,9,32.798371
-5006.957722,9,32.800978
-741.996172,8,32.803218
-293.180068,8,32.805111
-368.915229,8,32.807132
-1557.363384,9,32.809403
-5906.985691,9,32.811737
-5490.213625,13,32.814751
-5919.403252,9,32.818724
-1040.185569,8,32.820781
-2282.968388,9,32.82284
-904.914206,9,32.825612
-1210.196633,9,32.827906
-4210.315923,9,32.830138
-101.864238,8,32.832877
-2033.455819,9,32.83609
-6704.070585,9,32.83825
-4313.554801,9,32.840947
-1021.234857,9,32.843768
-779.681649,8,32.846238
-1930.806596,9,32.849326
-1043.803774,9,32.854038
-1426.621449,9,32.856411
-5102.725593,10,32.859645
-4624.673544,9,32.862509
-4323.712699,10,32.866938
-4968.307456,9,32.873085
-142.855823,8,32.87584
-1044.994856,9,32.878627
-802.87943,10,32.881819
-318.912461,8,32.884822
-154.606918,8,32.887715
-1226.314606,13,32.891756
-2571.750233,9,32.894551
-321.50068,8,32.897145
-231.618391,11,32.900817
-1556.740417,9,32.90424
-100.30589,8,32.906923
-743.419905,9,32.909817
-98.491742,8,32.91256
-342.865169,8,32.915206
-930.30167,8,32.917747
-1044.639321,9,32.92086
-2289.097328,9,32.923904
-1644.909768,9,32.926865
-5917.957264,11,32.930377
-1247.199343,9,32.933637
-365.05141,9,32.937378
-235.880442,8,32.940075
-82.165547,8,32.942553
-685.935188,10,32.945581
-3482.347885,9,32.948391
-6223.896284,12,32.953441
-11672.421812,10,32.956586
-4199.264002,9,32.959484
-7695.416448,10,32.962519
-248.531155,8,32.965025
-2159.500805,9,32.969836
-1003.174502,8,32.971878
-897.758125,8,32.973898
-975.17675,9,32.976085
-4458.285316,9,32.978345
-4729.409799,9,32.980535
-4225.152837,9,32.986196
-391.503149,8,32.988343
-296.95973,8,32.990415
-93.043369,8,32.992446
-2335.438982,9,32.994716
-8293.184254,10,32.998203
-1123.98442,9,33.001091
-14579.954395,10,33.003806
-2218.718896,10,33.006284
-347.911175,8,33.008334
-121.913213,8,33.0104
-8556.96327,10,33.013884
-4946.657506,9,33.016938
-253.034192,8,33.019626
-328.500139,9,33.022486
-340.854728,8,33.024978
-347.803871,8,33.027485
-709.352217,9,33.030933
-2029.246633,9,33.03415
-3976.91216,9,33.037004
-2271.517753,9,33.039843
-148.113659,8,33.042376
-1163.148235,9,33.045582
-353.991739,8,33.048104
-746.030123,9,33.051119
-6499.531119,10,33.054499
-4137.683699,10,33.057561
-923.588571,8,33.06021
-2416.339077,9,33.063165
-694.992339,9,33.066135
-961.742825,8,33.068873
-950.484518,10,33.072115
-699.818565,9,33.074991
-2308.966988,9,33.078434
-4702.891403,9,33.081437
-7441.614898,10,33.084666
-5352.632962,10,33.087302
-603.906657,9,33.089646
-1755.696457,9,33.092717
-1427.296507,9,33.09591
-5726.381527,9,33.098636
-4494.098166,9,33.102058
-1991.360458,9,33.104453
-523.053488,8,33.106497
-2290.258152,9,33.109232
-5386.738399,9,33.111641
-705.995335,8,33.11364
-241.772648,8,33.11639
-1535.107088,9,33.120222
-248.713632,8,33.122338
-1798.34654,11,33.126573
-2284.117755,9,33.129431
-5938.187762,10,33.132903
-150.445801,8,33.135647
-1663.526516,11,33.139216
-738.272286,9,33.142028
-547.555302,13,33.145931
-660.535609,8,33.148509
-3482.479233,9,33.153529
-309.591637,8,33.156102
-725.592552,8,33.158579
-4351.298117,12,33.162386
-1102.432719,8,33.164989
-346.86347,8,33.167878
-4694.143463,9,33.174211
-1617.15119,9,33.179935
-2055.109586,9,33.185773
-4615.44993,9,33.188646
-5452.770665,11,33.19297
-6272.172023,10,33.195473
-2239.4914,9,33.197715
-773.762978,9,33.203976
-5227.295388,9,33.206798
-780.181089,9,33.209153
-4681.687208,9,33.211524
-338.679749,8,33.213664
-36504.14836,10,33.219236
-2217.013481,9,33.225343
-5481.322541,10,33.231774
-353.742913,9,33.240516
-2353.563111,9,33.243595
-9282.728214,10,33.246792
-1242.685625,9,33.25104
-2268.452029,9,33.254237
-307.154185,14,33.258478
-133.473543,8,33.261069
-4697.966939,9,33.263862
-2918.710441,9,33.267874
-2291.745848,9,33.270743
-2293.123684,9,33.273558
-114.000421,7,33.275764
-968.754285,8,33.278194
-3252.112161,9,33.280951
-1495.72991,8,33.284126
-331.427432,8,33.286896
-578.463093,10,33.290372
-1639.026897,9,33.293393
-982.337408,9,33.296411
-275.963893,8,33.299459
-1553.31639,9,33.302089
-668.434673,8,33.30427
-2322.222092,9,33.306562
-403.466363,8,33.308711
-839.151127,9,33.310948
-250.984338,9,33.313601
-5090.656544,10,33.316318
-103.144758,7,33.318264
-908.45095,8,33.320346
-3256.595309,9,33.322589
-138.429606,7,33.324399
-620.619279,8,33.326395
-1552.769539,10,33.329032
-377.622098,8,33.331437
-1534.378582,9,33.333791
-1290.244273,9,33.336117
-1539.023448,9,33.338218
-537.370049,8,33.340184
-1062.986299,8,33.342205
-3084.516713,10,33.344712
-684.277101,8,33.346687
-854.2063,10,33.349228
-930.764597,8,33.351503
-131.856932,8,33.353478
-411.686888,8,33.355475
-1097.039761,9,33.357733
-4507.36359,10,33.360434
-538.37859,8,33.363392
-1086.230531,8,33.366483
-6695.896351,10,33.370171
-134.022673,8,33.373005
-89.884559,10,33.376453
-1211.022324,9,33.379403
-2210.958489,9,33.382371
-4666.400874,9,33.385407
-640.788075,9,33.38829
-6640.271936,9,33.391466
-1250.200326,8,33.394286
-1896.720833,9,33.397151
-4590.723453,9,33.400239
-4099.970691,9,33.403235
-3836.070979,10,33.406317
-744.970264,8,33.40905
-2661.305416,9,33.411823
-4364.393347,10,33.414984
-4450.241281,10,33.418507
-16942.205864,12,33.422352
-289.86398,8,33.425133
-981.538364,9,33.427962
-335.797088,8,33.430397
-110.64172,9,33.433523
-592.011228,9,33.436549
-57.17152,8,33.439461
-255.395306,8,33.441991
-1240.085414,9,33.444804
-410.387834,9,33.447549
-4407.318891,12,33.451674
-4161.128998,9,33.454475
-551.343024,9,33.457678
-254.853268,8,33.460631
-2241.975612,9,34.101899
-1171.539546,9,34.105114
-38953.790898,11,34.108812
-173.495163,10,34.112151
-133.085956,8,34.114753
-3485.035692,9,34.119741
-3270.555916,9,34.122146
-9427.043377,10,34.124618
-2292.064736,10,34.127084
-1163.711231,9,34.129302
-703.686291,8,34.131318
-1830.705667,9,34.137429
-1061.691559,9,34.140027
-2039.344409,12,34.142994
-1507.319574,9,34.145166
-4689.871841,9,34.147425
-1029.716255,10,34.151887
-236.41337,8,34.154554
-153.294569,8,34.157082
-4457.955957,9,34.159899
-3168.101817,9,34.162596
-108.744919,7,34.164869
-780.628137,9,34.168997
-725.747139,9,34.171871
-407.5208,8,34.174402
-2330.954576,10,34.177491
-386.519133,8,34.180482
-4541.803099,10,34.188897
-271.606031,8,34.19418
-602.497078,11,34.198423
-1171.053008,9,34.202546
-277.669077,8,34.205263
-740.734848,8,34.207931
-723.497862,8,34.210554
-853.347323,8,34.213761
-1477.462961,9,34.216471
-403.755007,8,34.218604
-1015.707317,9,34.220903
-292.137532,9,34.223194
-1903.451409,9,34.225407
-5391.673806,9,34.227811
-2290.484639,9,34.230992
-291.541255,8,34.233804
-1595.32529,9,34.236671
-220.25425,10,34.239781
-248.735385,8,34.24223
-307.842665,8,34.245225
-106.736486,7,34.247562
-105.70552,8,34.250369
-4738.374704,9,34.253412
-4221.000461,9,34.256243
-4136.061779,9,34.259062
-88.733844,8,34.261854
-1252.109704,9,34.264675
-341.696741,8,34.267481
-593.669911,8,34.270016
-735.37357,8,34.272685
-755.76252,8,34.276163
-14605.391965,10,34.279721
-787.215964,8,34.281879
-4587.873032,10,34.284732
-1668.507865,9,34.287102
-2226.280536,9,34.289345
-2117.635671,11,34.292937
-4582.379545,9,34.295908
-114.632754,8,34.298512
-804.347946,8,34.300863
-4195.632947,9,34.303406
-290.558269,8,34.305583
-7552.785476,10,34.308367
-750.083347,9,34.310737
-736.309993,10,34.314288
-4000.967249,10,34.317431
-1533.748713,9,34.319954
-4260.80311,9,34.323038
-2284.870449,9,34.325846
-82.308534,8,34.328323
-1234.368953,9,34.331099
-1065.202203,8,34.334784
-4461.700128,9,34.337156
-1598.385957,10,34.340811
-707.948304,12,34.344656
-1728.938646,9,34.347638
-7243.788912,10,34.351196
-1406.159327,8,34.353925
-1027.692446,8,34.356761
-296.618485,8,34.359369
-2593.857297,9,34.362255
-2035.104085,9,34.365231
-6144.216876,9,34.36832
-2281.687941,11,34.372175
-4584.419084,10,34.37538
-2161.274352,9,34.378208
-32944.032667,11,34.381667
-1780.031082,9,34.384901
-368.523939,8,34.387791
-6451.153584,9,34.390542
-7889.225464,9,34.39353
-2027.366085,9,34.396511
-9643.722233,10,34.401631
-1795.085514,9,34.404625
-1487.60106,9,34.407448
-258.251532,8,34.409931
-336.984723,8,34.412468
-1252.681722,9,34.416527
-2406.565782,9,34.424674
-322.086169,8,34.430486
-1205.064805,9,34.436133
-535.076014,8,34.438403
-2278.733853,10,34.442726
-1465.153675,9,34.445281
-4721.989121,9,34.447816
-286.166688,8,34.452654
-2217.769172,9,34.456079
-7998.514476,11,34.460145
-2253.280267,9,34.463333
-3557.458615,9,34.47167
-7954.776769,10,34.476511
-4321.46288,9,34.479094
-304.110421,8,34.482122
-2316.054766,9,34.485987
-6576.529698,9,34.489367
-245.676665,8,34.492401
-1067.177795,8,34.495131
-2600.358244,9,34.498551
-353.094449,8,34.501508
-2295.989438,9,34.504431
-7.597459,14,34.508716
-1240.376779,9,34.511577
-1077.727029,10,34.515441
-787.163944,9,34.518
-3822.337055,9,34.520362
-368.236672,9,34.52285
-5937.190627,9,34.525785
-113.817885,7,34.52843
-648.599095,8,34.531393
-402.240888,9,34.534435
-6310.174577,14,34.538805
-129.897722,7,34.541162
-96.432302,9,34.544472
-2287.86429,9,34.549
-123.412897,8,34.551778
-342.006274,8,34.554298
-2279.225434,9,34.557076
-1498.373019,8,34.560199
-6314.25051,9,34.563098
-379.953787,8,34.565783
-4222.62174,9,34.568852
-732.500855,9,34.571707
-595.751415,9,34.574865
-3217.537765,9,34.578799
-4232.271756,9,34.581954
-2474.48428,9,34.589924
-3598.511782,10,34.593447
-1233.775111,9,34.596419
-140.265088,7,34.598789
-7076.154989,13,34.602826
-300.982358,8,34.605436
-130.897081,8,34.608462
-1270.667256,10,34.611856
-1231.583629,9,34.615043
-3483.980388,10,34.618511
-768.262423,8,34.621089
-132.403063,8,34.623863
-2479.586776,9,34.626801
-133.552931,8,34.629329
-4559.80761,10,34.633904
-125.013056,11,34.636827
-135.514445,8,34.639765
-959.191619,8,34.642246
-572.782339,8,34.644729
-1044.642769,8,34.647326
-5540.513456,9,34.65054
-582.652262,12,34.654805
-618.374125,12,34.658516
-4585.450856,9,34.661583
-2285.543535,9,34.664498
-6878.52023,9,34.667612
-513.581357,9,34.670763
-6774.806226,10,34.673875
-123.693669,8,34.676376
-1215.245366,9,34.679178
-253.425295,8,34.681716
-4123.195532,9,34.685513
-713.644895,8,34.688585
-2216.504005,11,34.692096
-1062.930408,8,34.694587
-1678.656546,11,34.69796
-756.940877,10,34.70145
-377.825373,10,34.704543
-1043.690783,8,34.707045
-121.140849,8,34.709551
-1057.852925,9,34.71233
-401.650392,8,34.714721
-579.783224,10,34.718484
-299.20902,8,34.720575
-945.307466,8,34.722503
-109.786669,7,34.724567
-1788.738081,9,34.726775
-1015.061484,9,34.729071
-347.302132,8,34.731109
-164.199046,8,34.733785
-4253.669294,9,34.736734
-5179.816804,9,34.739482
-2409.227707,9,34.742316
-1567.949066,9,34.745049
-1178.363396,9,34.747865
-19629.829241,10,34.752243
-1522.548634,9,34.755338
-1086.818565,11,34.758743
-387.173172,8,34.761218
-103.704012,7,34.763494
-1015.116386,9,34.770233
-714.545875,8,34.77542
-393.969048,10,34.783427
-337.674342,8,34.789943
-2289.641198,9,34.792315
-612.454466,8,34.794274
-2295.428459,9,34.797317
-2276.673308,9,34.800591
-4296.778195,9,34.803445
-586.137819,10,34.806515
-10085.965324,10,34.80964
-277.038901,9,34.81271
-21384.30906,10,34.815896
-514.274984,8,34.818468
-4829.703103,9,34.821459
-5194.777395,9,34.824221
-572.304053,8,35.499662
-305.82332,8,35.504579
-5873.053519,9,35.507322
-103.948179,7,35.509769
-3170.716812,9,35.512666
-3649.022713,9,35.515641
-420.913732,8,35.518328
-108.538936,13,35.522277
-259.278009,8,35.52519
-2337.525374,9,35.528087
-5261.550857,9,35.531037
-722.485648,9,35.534131
-665.175597,9,35.536976
-4675.059889,9,35.540158
-2401.02391,10,35.543804
-2979.107018,10,35.547034
-2077.638482,9,35.55033
-4180.818708,10,35.553624
-4706.949589,10,35.557279
-2036.749833,9,35.560271
-5116.639778,9,35.563349
-4777.807238,10,35.567919
-528.527334,8,35.570089
-131.746258,8,35.572636
-35768.84249,10,35.575089
-840.365172,8,35.577293
-123.809892,7,35.579312
-143.001614,8,35.582349
-316.138517,8,35.586166
-6258.781163,9,35.592957
-104.972069,8,35.598424
-5572.921718,9,35.601172
-4217.419249,9,35.60717
-4479.297982,9,35.610862
-694.592618,8,35.614144
-1656.351229,9,35.619589
-249.670953,9,35.622628
-2096.30515,13,35.631258
-4464.27007,11,35.636293
-4755.554502,9,35.639275
-3792.524283,9,35.6421
-4579.624048,9,35.64743
-555.238727,8,35.652107
-343.217878,8,35.654735
-887.398912,8,35.657267
-6621.123337,9,35.660099
-2250.20411,9,35.663088
-1011.861855,8,35.667843
-4205.213624,9,35.672778
