#{"t_start": 1776510103.5959845, "env_id": "None"}
r,l,t
-355.851324,9,5.696604
-575.890672,8,5.701895
-558.477387,9,5.707508
-5419.601007,10,5.713123
-1097.779916,10,5.715616
-576.292505,10,5.718007
-2504.656065,10,5.720358
-889.391295,9,5.722553
-5900.263583,9,5.726139
-2257.866726,11,5.733951
-333.232755,8,5.73596
-2218.635332,9,5.738117
-758.949681,8,5.740061
-1634.629525,8,5.74391
-396.560725,8,5.746605
-415.736735,8,5.749113
-3923.024002,9,5.751968
-1196.438077,9,5.754772
-128.607638,9,5.757995
-101.367497,8,5.761381
-4692.897521,9,5.763674
-1178.282005,8,5.765673
-6936.551448,10,5.768211
-1406.204254,9,5.77041
-2318.224564,9,5.772719
-724.35344,8,5.77731
-969.679512,8,5.78231
-1084.433061,9,5.784633
-1058.560567,8,5.786643
-1229.644027,8,5.788608
-925.524384,9,5.792697
-100.678355,10,5.796064
-564.734743,8,5.79862
-290.709711,8,5.801089
-1080.409417,8,5.803639
-5751.845831,9,5.806715
-4324.516477,10,5.810113
-1190.308206,12,5.813961
-1239.995331,8,5.816495
-1260.117305,8,5.819034
-5467.703799,9,5.822282
-2265.912848,9,5.825405
-3541.585256,9,5.828376
-887.487082,9,5.831171
-382.348364,8,5.83372
-5554.053341,9,5.836596
-660.187442,10,5.839711
-1068.077582,8,5.842297
-2293.562395,9,5.845292
-4780.144677,10,5.848486
-3044.356271,9,5.851528
-6368.142711,10,5.858382
-267.49105,9,5.861133
-1141.105694,8,5.863228
-863.774459,8,5.865144
-4630.465922,9,5.867237
-4302.090672,10,5.873716
-2141.536552,9,5.877884
-1107.823718,9,5.880293
-2247.059767,9,5.88248
-914.967468,11,5.886153
-988.58025,8,5.888838
-5421.702,9,5.891913
-358.362251,8,5.894543
-118.24367,8,5.897015
-265.065435,8,5.899607
-1250.138058,9,5.902645
-233.102837,8,5.905185
-395.38543,8,5.907691
-1265.909949,9,5.912856
-1672.615222,9,5.915224
-1922.280787,9,5.917676
-4974.570095,9,5.920162
-559.206763,8,5.922245
-791.119013,9,5.924894
-557.781394,9,5.927441
-4252.252813,9,5.929876
-674.884776,9,5.932444
-5377.370385,11,5.935186
-136.800185,7,5.936956
-4290.291476,10,5.939393
-756.425196,9,5.941637
-3693.107037,10,5.944672
-429.726512,8,5.946849
-7661.037978,10,5.950472
-791.208025,8,5.953234
-5303.386168,9,5.956148
-580.723397,8,5.958859
-1144.052123,8,5.961068
-1086.889383,8,5.963152
-831.981524,8,5.971629
-297.163515,8,5.980551
-2324.335783,10,5.988843
-2426.535106,9,5.995264
-2269.966268,9,5.998608
-2321.886155,9,6.001454
-1251.244536,9,6.004188
-4223.926079,9,6.006901
-1647.533796,9,6.010359
-1811.968561,8,6.013152
-1908.550405,9,6.015981
-919.328024,8,6.018389
-1986.710548,9,6.021134
-4368.392306,9,6.023907
-730.623382,8,6.026491
-1671.270892,9,6.029948
-1107.948685,8,6.032501
-92.725076,9,6.035281
-1010.698991,8,6.037795
-521.000234,8,6.040322
-4576.714227,9,6.043512
-2253.284446,9,6.046639
-4779.764356,9,6.049624
-4830.856338,10,6.052813
-1256.744724,9,6.055658
-4657.897171,10,6.059299
-267.621947,8,6.062294
-2204.247735,9,6.065086
-100.566782,7,6.067404
-4492.837659,9,6.070144
-1474.42976,8,6.072703
-2282.526992,9,6.076769
-6277.618869,9,6.079378
-2304.472437,9,6.081749
-116.154413,8,6.08391
-399.123306,8,6.086069
-136.600339,7,6.087971
-244.165064,8,6.090106
-4656.628313,9,6.094164
-555.6474,9,6.096663
-590.916259,8,6.098744
-511.641486,8,6.100841
-2660.279686,11,6.103608
-238.377028,8,6.105697
-635.565749,9,6.1097
-4794.369273,9,6.114367
-3660.574645,9,6.116835
-4416.741029,9,6.118948
-4676.777651,13,6.121983
-1429.148385,8,6.124999
